inom,prod,charge,dette,emp,caf,pop1,equip,subv,anomalie,score_anomalie
ORLY,59490.11,55229.71,48406.12,4500.0,6303.67,24805,14329.82,3898.94,-1,-0.8102452138456119
GARGES-LES-GONESSE,75188.83,65931.49,35735.99,4000.0,12932.69,43333,28446.85,2949.08,-1,-0.8102452138456119
HYERES,93278.08,85441.46,11842.74,0.0,10609.46,55798,16540.1,8742.0,-1,-0.8102322410214898
SAINT-MARTIN-D'HERES,58845.74,54119.16,31562.82,8000.0,6946.43,38200,14088.46,4512.12,-1,-0.8096971984328412
BASTIA,58672.34,57205.0,49266.1,6000.0,4497.36,49198,14888.21,3511.86,-1,-0.8096971984328412
DREUX,57541.89,58260.37,49193.89,15000.0,3604.73,31165,14151.66,4951.73,-1,-0.8091495536743952
TREMBLAY-EN-FRANCE,130506.72,119553.4,6931.69,0.0,13379.82,36624,19411.86,11120.47,-1,-0.8086022793195793
GAP,64964.53,52968.92,37731.82,5000.0,14459.0,42176,8794.79,5767.58,-1,-0.8086022793195793
CHATEAUROUX,73803.27,66996.77,31108.4,0.0,11750.47,44662,17569.15,5844.96,-1,-0.808055375117868
ANNEMASSE,55825.2,49968.07,31425.69,4000.0,7985.24,36978,14913.66,6618.88,-1,-0.808055375117868
VICHY,44020.82,41393.12,54836.17,8500.0,6367.92,25302,16113.14,3872.01,-1,-0.808055375117868
CHATENAY-MALABRY,71731.98,69375.95,63801.3,0.0,3551.5,34378,22861.7,4437.51,-1,-0.8075088408189055
CASTRES,61106.71,56333.34,77363.06,6000.0,6613.75,43549,10844.72,3469.71,-1,-0.8069626761725055
VILLEPINTE,71737.26,69175.38,33284.9,7800.0,5296.97,37796,14038.76,3044.44,-1,-0.8069626761725055
STAINS,68932.47,61836.12,52043.18,6996.0,9267.05,38361,13111.0,1988.75,-1,-0.8069626761725055
MAUBEUGE,49181.13,49674.61,85950.68,11600.0,4540.44,29872,10800.73,3980.89,-1,-0.8064168809286505
LIEVIN,52381.97,46288.89,38067.41,8500.0,7067.59,30475,17818.83,4207.59,-1,-0.8064168809286505
SIX-FOURS-LES-PLAGES,48206.35,40891.36,51207.58,8700.0,9067.99,35154,13859.08,3085.24,-1,-0.8064168809286505
LA POSSESSION,51617.46,47880.96,62309.8,5500.0,6328.26,33405,9118.24,5987.76,-1,-0.8064168809286505
MAMOUDZOU,58624.98,60026.77,34478.04,0.0,107.35,72974,22435.04,5675.29,-1,-0.804781709114719
LE PORT,73532.59,72841.8,30218.25,0.0,3858.77,33235,23691.46,11575.53,-1,-0.804781709114719
TALENCE,50212.99,44452.94,19458.47,5000.0,6806.03,44799,18670.57,6388.78,-1,-0.804781709114719
CHALONS-EN-CHAMPAGNE,67359.56,62402.68,34996.58,2435.0,7251.06,45625,17320.98,5935.69,-1,-0.804781709114719
EPINAL,56488.44,52461.57,56027.76,5085.15,6352.76,33706,12685.77,2948.46,-1,-0.8042373889842519
COURNEUVE (LA ),96163.26,91350.73,66274.93,0.0,7380.51,45181,19256.75,1736.54,-1,-0.8042373889842519
CIOTAT (LA ),65876.09,59492.2,33207.11,4000.0,10248.48,36374,9834.51,6190.06,-1,-0.8036934370087777
ALFORTVILLE,79368.6,71946.17,41566.55,0.0,9917.84,44966,9919.96,5297.68,-1,-0.802606636526959
BEZONS,52685.38,47624.73,45516.06,5000.0,5526.85,31795,15253.09,2922.32,-1,-0.802606636526959
AUXERRE,48298.76,44801.01,60546.6,4500.0,5344.54,35554,10788.53,4415.13,-1,-0.8020637875231109
MACON,57601.19,53030.69,48618.49,854.69,8170.05,34663,18914.39,3524.64,-1,-0.8020637875231109
MEUDON,93224.83,88444.76,11141.92,0.0,7350.85,46502,23912.16,4259.29,-1,-0.8015213056792482
MANDELIEU-LA-NAPOULE,59190.58,42318.84,34252.72,10000.0,19955.24,22281,17619.0,1320.85,-1,-0.8015213056792482
DOUAI,64478.54,61326.39,29649.24,0.0,6775.45,40471,13414.89,8049.79,-1,-0.8015213056792482
SAINT-CLOUD,53021.03,50452.26,32710.27,6900.0,4328.02,30610,13065.25,3954.59,-1,-0.8015213056792482
TRAPPES,57827.19,53940.31,42349.47,6000.0,5471.08,32759,13552.88,1587.5,-1,-0.8009791907470395
SAINT-JOSEPH,53813.14,51111.13,40739.7,3000.0,5410.13,38425,9984.77,11750.46,-1,-0.8009791907470395
POISSY,68734.23,61316.74,21775.24,0.0,8659.67,39475,14287.43,5748.09,-1,-0.8009791907470395
DIEPPE,54787.05,52516.47,50157.29,1000.0,4114.57,28709,11595.52,6915.34,-1,-0.7993550449395423
LAMENTIN (LE ),73792.49,73723.78,22956.16,0.0,3982.86,40685,7920.61,18613.19,-1,-0.7993550449395423
SARTROUVILLE,74515.5,67584.09,13110.83,0.0,9115.77,53223,13990.87,5124.15,-1,-0.7993422464777535
CHOLET,51070.61,42599.4,41932.19,0.0,10138.72,55979,10189.08,6035.04,-1,-0.7988143951739933
PERREUX-SUR-MARNE (LE ),55359.43,47698.0,12756.75,5000.0,9798.09,33891,16482.01,2379.19,-1,-0.7988143951739933
MUREAUX (LES),63204.53,55412.62,63790.45,0.0,8713.19,33362,12368.64,3733.87,-1,-0.7977341924131124
ROMANS SUR ISERE,47697.9,42624.82,65897.97,2500.0,8203.5,33778,15261.33,3511.3,-1,-0.7977341924131124
ARRAS,66254.46,57985.29,36296.46,0.0,10677.33,42482,8700.36,5762.24,-1,-0.797194638923297
SAINT-LEU,46308.91,41433.51,43444.77,5500.0,5626.09,35062,3887.86,5106.21,-1,-0.797194638923297
CLICHY-SOUS-BOIS,56724.64,56917.68,23926.26,9000.0,3035.48,28874,19536.85,3324.54,-1,-0.797194638923297
LIBOURNE,40113.48,36383.68,41188.21,5726.1,5918.62,24801,12396.82,4772.43,-1,-0.7966554503645216
MAISONS-ALFORT,71398.75,63848.86,20125.07,1500.0,8867.6,56774,11446.71,3492.42,-1,-0.7961166264899622
VILLENEUVE-LA-GARENNE,57326.51,55173.68,31738.29,6500.0,8224.14,24183,12259.52,2944.2,-1,-0.7961166264899622
REZE,56485.67,54875.09,20318.24,1800.0,5819.78,43710,9835.8,10512.11,-1,-0.7961166264899622
LIVRY-GARGAN,63502.22,58279.2,36092.68,7500.0,7663.24,45908,11321.32,2034.72,-1,-0.7955781670529618
COMPIEGNE,61626.65,56441.37,34101.42,4200.0,7233.63,41643,12505.69,3308.49,-1,-0.7955781670529618
CHOISY-LE-ROI,75703.41,69324.76,30927.49,0.0,8683.65,46359,9144.87,4066.84,-1,-0.7955781670529618
ECHIROLLES,55237.37,51751.62,37015.57,1400.0,4717.07,37144,7466.54,8987.33,-1,-0.7955781670529618
PESSAC,64528.16,56027.45,11514.51,0.0,9925.73,66007,9772.24,8618.67,-1,-0.7955654290627089
MONTFERMEIL,52912.78,39597.76,40069.57,4770.17,9758.13,28058,18045.63,1332.52,-1,-0.7950400718070305
LES BELLEVILLE,43009.43,28102.3,30355.19,2980.0,14866.09,3611,26836.4,7068.13,-1,-0.7949285205401146
BLAGNAC,78605.52,73609.93,11449.52,0.0,8349.63,26014,26021.28,3208.41,-1,-0.794502340505845
CREIL,51117.92,48397.72,31895.22,6000.0,4438.64,36428,13840.94,2784.94,-1,-0.794502340505845
ROANNE,48142.6,41640.99,13785.94,5000.0,10396.86,34547,20233.86,2448.55,-1,-0.794502340505845
SAINT-DIZIER,35496.28,29300.01,31541.87,7700.0,4436.1,23427,24483.7,2283.51,-1,-0.7939649729032484
SAINT-TROPEZ,40916.33,34658.9,53949.56,13960.78,8281.02,3922,9570.29,3634.88,-1,-0.7939649729032484
AGEN,49834.82,45466.28,21757.04,3000.0,7174.19,33464,23826.28,3389.75,-1,-0.7939649729032484
HAY-LES-ROSES (L' ),51607.12,43142.84,39442.25,2700.0,9933.6,32244,25679.53,1194.01,-1,-0.7934279687532505
GONESSE,52062.94,47251.41,39943.12,4000.0,7500.59,26228,13835.12,2171.92,-1,-0.7934279687532505
CONFLANS-SAINTE-HONORINE,55669.5,48141.36,40772.84,0.0,9348.41,35946,14621.35,2621.7,-1,-0.7928913278100274
CENON,37877.09,36219.29,19001.05,5000.0,2727.59,25723,17175.51,6125.84,-1,-0.7928913278100274
LA VALETTE-DU-VAR,33021.22,28701.46,36348.87,9500.0,7605.29,24346,17481.06,2364.51,-1,-0.7923550498279215
WATTRELOS,54724.96,52670.16,55575.95,3500.0,2984.28,41070,3860.37,4564.3,-1,-0.7923550498279215
BOIS-COLOMBES,54743.34,51560.75,49688.74,0.0,5967.26,29082,12313.92,3219.32,-1,-0.7923550498279215
SOISSONS,45919.35,39472.18,20308.82,10500.0,8216.21,29363,27808.55,1701.25,-1,-0.7918191345614413
OULLINS,30241.72,28686.69,45413.48,20942.25,3435.47,26831,4250.67,4727.74,-1,-0.7918191345614413
VILLEFRANCHE-SUR-SAONE,50182.83,44665.28,13772.55,4000.0,7403.61,36710,16864.62,3716.83,-1,-0.7918191345614413
GOUSSAINVILLE,51525.99,51434.79,58113.85,4000.0,5967.11,31211,12213.62,1740.95,-1,-0.7918191345614413
CAGNES-SUR-MER,65750.73,58405.16,14392.9,0.0,10451.98,52669,5240.72,6191.48,-1,-0.7918064567570018
VAL-DE-REUIL,34301.5,30630.61,44402.28,7000.0,4786.63,13197,18456.15,2607.53,-1,-0.7912835817652614
SAINT-BENOIT,65329.8,57368.22,31562.18,138.72,8668.93,37285,6434.77,4195.53,-1,-0.7907483911942221
CHATILLON,63477.47,61142.44,70987.39,2000.0,4703.18,36934,6155.24,2389.9,-1,-0.7907483911942221
MANTES-LA-JOLIE,70740.86,60458.65,40729.39,0.0,13022.99,44116,9556.22,2734.68,-1,-0.7907483911942221
HERBLAY,46787.12,44022.61,41375.97,9000.0,4389.24,31545,19005.16,826.04,-1,-0.7907483911942221
CACHAN,56732.86,52006.99,47601.77,4255.64,6042.41,30714,7259.99,2434.91,-1,-0.7902135626033302
NEVERS,57881.33,53147.42,46255.94,4000.0,7161.33,34069,8002.2,2321.21,-1,-0.7902135626033302
SAINT-GERMAIN-EN-LAYE,74956.58,65388.88,8667.6,0.0,12164.8,46649,28799.46,3280.41,-1,-0.7896790957477572
COLOMIERS,69107.28,67850.36,19112.57,3850.0,3722.49,40529,6195.23,4082.5,-1,-0.7896790957477572
VANVES,50040.91,48417.71,18931.81,8573.28,2248.95,28131,17501.48,1945.96,-1,-0.789144990382841
SAINT-HERBLAIN,82094.35,71929.95,8737.92,0.0,14088.79,48135,13760.66,4400.21,-1,-0.7891323553940846
HAGUENAU,34004.56,31052.66,44026.92,2500.0,5794.81,35757,12905.37,4516.56,-1,-0.7886112462640847
MONTBELIARD,43467.83,39461.72,30206.22,5152.79,6512.03,26365,11729.65,4160.38,-1,-0.7886112462640847
SAINT-CHAMOND,47957.33,46290.48,24019.9,11000.0,4287.69,35253,13753.24,2798.68,-1,-0.7886112462640847
SAINTE-MARIE,56692.19,52618.12,39147.57,0.0,4700.18,34511,3154.43,5370.36,-1,-0.7880778631471567
EPERNAY,46511.52,46208.24,29757.51,4400.0,4709.35,22901,6230.53,6427.17,-1,-0.7880778631471567
CAMBRAI,38828.09,33602.35,38207.09,5000.0,6154.55,32794,8011.45,3834.76,-1,-0.7880778631471567
BAIE MAHAULT,78141.71,76320.21,25567.49,3000.0,4511.98,31335,18046.42,1410.25,-1,-0.7880778631471567
JOUE-LES-TOURS,50373.15,50300.21,36992.56,5940.0,2338.69,38856,10859.25,3211.54,-1,-0.7875448407878906
FRANCONVILLE,48648.05,47448.97,35311.69,6552.5,2465.9,37564,12677.35,2011.6,-1,-0.7870121789422854
VELIZY-VILLACOUBLAY,63217.81,54804.83,6696.2,0.0,12290.48,23276,16160.55,5941.81,-1,-0.7869995781019412
GRAVELINES,57314.56,52846.76,18908.24,0.0,6096.07,11202,7767.93,8192.72,-1,-0.7863695271717974
ALES,50831.07,41706.88,38639.52,3500.0,8294.66,42452,9611.15,3797.28,-1,-0.7854163540498982
SAINT-MEDARD-EN-JALLES,42616.86,39438.5,25669.6,4799.67,4219.2,32328,11523.01,4013.52,-1,-0.7848851318222239
NOGENT-SUR-MARNE,59357.0,55527.4,27386.61,0.0,4916.85,34278,8694.9,3844.51,-1,-0.7848851318222239
PONTAULT-COMBAULT,52529.06,47099.8,30188.39,3000.0,6694.45,37825,9009.05,3879.84,-1,-0.7843542688906779
CHENNEVIERES-SUR-MARNE,36089.65,29254.76,50254.65,8800.0,7400.12,18153,12232.08,837.34,-1,-0.7843542688906779
RILLIEUX-LA-PAPE,44871.96,42295.09,24930.4,0.0,5212.16,31063,14153.13,4458.13,-1,-0.7832936199440851
MALAKOFF,64855.06,63187.68,40854.0,3675.0,6113.1,31151,7419.56,1679.22,-1,-0.7832936199440851
SCHILTIGHEIM,39527.32,35074.15,24227.72,5000.0,5552.76,33978,12825.02,2820.19,-1,-0.7832936199440851
GRANDE-SYNTHE,69477.03,63696.01,12342.45,0.0,7013.49,22731,6908.66,7483.91,-1,-0.7822218809245097
BUSSY-SAINT-GEORGES,49401.25,43047.49,35191.88,802.07,9730.75,26944,17108.61,957.46,-1,-0.7817053351751826
CHATELLERAULT,44362.86,40788.08,25027.23,3000.0,5845.97,32286,8904.44,6493.91,-1,-0.7817053351751826
SAINTES,35757.58,33322.89,29366.31,5193.35,3954.94,26694,10275.14,4166.41,-1,-0.7817053351751826
LA BAULE-ESCOUBLAC,46339.33,35384.46,15718.1,787.09,13144.16,16797,17425.37,4768.6,-1,-0.7815956548916523
ETAMPES,36615.08,35112.43,49364.48,11864.74,2388.24,25813,8727.8,2404.93,-1,-0.7811766229228906
GARENNE-COLOMBES (LA ),54203.5,49925.24,13264.31,0.0,7577.1,29889,14855.14,3484.16,-1,-0.7811641155155474
ROMAINVILLE,60629.81,52649.71,35251.81,0.0,10066.42,30171,8749.25,638.71,-1,-0.7806482682690864
SAVIGNY-SUR-ORGE,53063.87,47463.79,25996.27,3000.0,7393.06,36823,8917.55,3211.06,-1,-0.7806482682690864
BETHUNE,46794.54,43372.02,42391.63,3128.47,6074.47,25388,8491.72,3068.33,-1,-0.7801202709719055
SANNOIS,40488.12,35433.61,22173.79,6223.73,6565.7,26901,4319.16,3605.98,-1,-0.7801202709719055
MONTLUCON,54113.35,49776.68,35982.24,0.0,5974.88,35431,9618.8,2987.27,-1,-0.779065347480774
AIX-LES-BAINS,45819.75,43161.34,38424.21,4400.0,6012.21,31040,7007.64,2274.5,-1,-0.779065347480774
PIERREFITTE-SUR-SEINE,50383.96,47480.02,41614.54,2000.0,4011.68,30908,10733.65,2339.73,-1,-0.779065347480774
VIENNE,45628.0,41079.95,32960.1,3300.0,5658.84,30334,11112.26,3343.08,-1,-0.778538420803912
VALLAURIS,51985.62,48173.72,44091.47,0.0,6013.9,27543,4428.58,2372.68,-1,-0.778538420803912
HENIN-BEAUMONT,45651.01,37999.28,34973.99,0.0,9718.26,26366,18353.08,2268.94,-1,-0.778538420803912
VILLIERS-LE-BEL,50447.33,43724.82,30375.32,3146.0,9225.56,28540,11619.79,1952.43,-1,-0.7780118505178505
VERNON,29711.58,26903.69,39861.88,9797.5,3753.27,24404,12112.35,2053.77,-1,-0.7780118505178505
SCEAUX,47138.57,45529.92,56438.08,3750.0,2903.54,20374,11109.51,1572.61,-1,-0.7774856363815418
BONNEUIL-SUR-MARNE,46489.68,42264.42,34784.42,8000.0,6155.18,18134,9074.2,1198.74,-1,-0.7774856363815418
SAINT-ETIENNE-DU-ROUVRAY,48171.43,48084.24,37969.63,3317.73,2320.25,28573,9384.32,3431.34,-1,-0.7769597781541013
VILLIERS-SUR-MARNE,50615.06,50516.43,54690.2,2000.0,2330.42,29014,8097.42,1067.53,-1,-0.7769597781541013
MATOURY,39829.31,39990.71,17131.67,0.0,1057.07,33696,10923.78,11408.01,-1,-0.7769597781541013
PLAISIR,45044.34,43751.99,67679.56,172.5,5129.94,31303,11136.4,1744.39,-1,-0.7769597781541013
MARCQ-EN-BAROEUL,52612.2,47112.35,9.3,0.0,7247.8,39183,15916.93,4146.21,-1,-0.7769473382625973
BEAUSOLEIL,30267.02,29525.09,12885.58,7000.0,301.47,13488,15037.08,2260.02,-1,-0.7764342755948077
SAINT LAURENT DU MARONI,55150.0,58118.16,12895.4,0.0,-1638.98,47963,16292.88,3542.72,-1,-0.7764218441171173
FOS-SUR-MER,63496.73,61463.15,12661.36,0.0,8842.83,15870,8481.23,9576.91,-1,-0.7763129051548641
NEUILLY-SUR-MARNE,53355.53,54531.6,7821.55,5000.0,2155.96,36028,14749.45,2540.71,-1,-0.7759091284631018
VIRY-CHATILLON,51342.19,48710.33,30697.72,3300.0,3683.37,31079,4273.15,3414.55,-1,-0.7759091284631018
CHATOU,43179.46,40238.43,19374.79,4000.0,4621.38,30654,16924.36,1186.6,-1,-0.7753843365185877
VIERZON,39955.01,38969.31,31221.71,2500.0,1957.7,25986,8028.65,4817.84,-1,-0.7753843365185877
VILLENEUVE-SAINT-GEORGES,58905.99,54788.37,38491.54,0.0,5788.25,34992,4355.98,1392.61,-1,-0.774859899521032
LE CHESNAY-ROCQUENCOURT,45331.58,37970.11,21207.91,4300.0,8556.79,31871,7399.26,1965.78,-1,-0.7743358172303634
SAINT-LAURENT-DU-VAR,48187.63,44618.59,35394.51,0.0,5784.95,29352,5714.18,3371.58,-1,-0.7743358172303634
CALUIRE-ET-CUIRE,48065.14,41967.01,41880.49,3000.0,7408.8,43916,8215.28,2223.85,-1,-0.7738120894066733
BOURGOIN-JALLIEU,39129.2,35658.78,23746.61,5000.0,5674.73,29443,10653.44,1573.39,-1,-0.7738120894066733
CARPENTRAS,42794.5,38987.02,48409.86,3000.0,5267.49,29949,9211.95,2375.85,-1,-0.7732887158102155
MONTEREAU-FAULT-YONNE,45095.62,44711.31,26026.35,5930.0,3061.27,21422,11680.76,2365.23,-1,-0.7732887158102155
CHAMONIX-MONT-BLANC,34463.24,27370.57,38348.53,6100.0,9108.17,9026,11679.65,1256.66,-1,-0.7732887158102155
ARCUEIL,51084.83,51783.96,24008.42,15000.0,2216.29,21910,5337.93,2129.61,-1,-0.7732887158102155
SUCY-EN-BRIE,49602.57,45202.21,34669.01,2780.0,5519.43,27415,7788.39,1731.75,-1,-0.7727656962014056
POINTE A PITRE,63876.27,53168.37,36962.9,0.0,1573.95,15289,2438.72,7362.5,-1,-0.772748097234341
BRETIGNY-SUR-ORGE,37264.01,33903.64,23692.35,5000.0,5252.29,27733,11764.07,1327.72,-1,-0.7722430303408213
MEGEVE,35614.34,32220.36,26981.8,0.0,6101.03,3153,9398.6,10962.59,-1,-0.7721346777036949
YERRES,40198.18,34321.04,26332.3,3600.0,7616.19,29527,14764.44,1349.56,-1,-0.7717207179892026
PERIGUEUX,44573.15,40132.86,31801.91,3500.0,6651.87,31476,8428.31,2925.35,-1,-0.7717207179892026
DRAGUIGNAN,45138.64,39416.69,30009.56,4000.0,7410.72,40344,9922.29,2476.43,-1,-0.7711987589074509
CASTELNAU-LE-LEZ,30294.89,23299.26,21072.21,5000.0,7933.8,22916,13083.86,1434.43,-1,-0.7711987589074509
MANOSQUE,36924.41,33815.3,24885.04,5000.0,4341.03,23197,8538.85,2315.39,-1,-0.7711987589074509
BRON,47345.97,42995.24,13150.85,0.0,5885.31,42645,9383.53,7884.82,-1,-0.7706648135561462
ATHIS-MONS,54265.75,50840.12,19418.84,0.0,4866.49,36001,4981.17,2407.0,-1,-0.7701558995979635
CHARENTON-LE-PONT,66600.03,64478.97,3352.03,0.0,4364.88,30086,18924.21,1930.5,-1,-0.7696349988928389
JOINVILLE-LE-PONT,39606.64,32870.97,17953.77,0.0,4623.31,19807,41214.25,2027.08,-1,-0.7695270121859624
MARIGNANE,46670.13,40624.31,21118.11,0.0,8156.0,32612,12881.66,1852.96,-1,-0.7691144505028038
LA TESTE-DE-BUCH,42774.88,37312.26,24196.84,0.0,9311.51,26546,14612.72,1799.25,-1,-0.7691144505028038
ROCHEFORT,33962.54,29528.84,28227.39,2637.46,7161.79,24266,13295.33,2855.9,-1,-0.7691144505028038
BRUAY-LA-BUISSIERE,34594.27,31074.54,31605.14,3500.0,4625.86,22270,8366.88,3187.24,-1,-0.7685942541895671
SAUMUR,39008.47,31912.79,25722.27,0.0,8564.91,27449,12858.31,2159.09,-1,-0.7685942541895671
FRESNES,48625.85,44449.93,23320.48,750.0,5427.88,28822,3045.01,2164.09,-1,-0.768074409714999
TIGNES,32710.47,24383.19,21321.7,1000.0,9730.01,2062,7613.77,8442.23,-1,-0.7679666419728087
BRIANCON,24595.84,20830.25,44566.9,5800.0,6342.36,11659,7856.29,2432.27,-1,-0.7671127647206702
CORMEILLES EN PARISIS,44081.71,39870.74,24883.38,0.0,4830.05,25620,15465.65,1059.23,-1,-0.7670357753301549
FOUGERES,26918.59,23202.66,29725.92,5000.0,5250.92,21248,10186.37,3275.01,-1,-0.7665939222625892
MONT DE MARSAN,27107.76,26164.75,33377.23,4500.0,2455.47,31220,5692.06,3711.3,-1,-0.7665169849444241
DECINES-CHARPIEU,41713.26,39583.83,20496.29,750.0,3066.98,29069,6804.58,4058.43,-1,-0.7665169849444241
LIMEIL-BREVANNES,38887.73,34514.93,39026.26,4000.0,5784.59,27945,6947.76,1235.49,-1,-0.7665169849444241
