inom,prod,charge,dette,emp,caf,pop1,equip,subv,anomalie,score_anomalie
ISSOIRE,20874.75,18421.91,21635.83,3100.0,3144.29,15701,8205.96,1940.92,-1,-0.731030998058876
ALLAUCH,29036.29,26617.63,18928.67,1100.0,3790.4,21597,5557.4,784.13,-1,-0.7309576299263447
HENDAYE,26184.24,23237.25,18404.33,2000.0,4446.04,17404,4324.57,2951.49,-1,-0.7309291714940321
MARSEILLAN,15713.44,15822.26,25107.76,6000.0,2368.6,7838,10870.36,538.11,-1,-0.7305365597736462
OZOIR-LA-FERRIERE,29719.54,28499.12,27681.45,1800.0,1954.07,20726,3497.37,1480.86,-1,-0.7303614937831768
CONCARNEAU,28797.55,24940.53,16938.17,0.0,4829.53,20672,5269.33,1357.86,-1,-0.7302165438055414
SAINT-SEBASTIEN-SUR-LOIRE,36111.16,32538.72,3914.16,0.0,4450.84,28169,7625.27,1856.06,-1,-0.7300599334292223
TASSIN-LA-DEMI-LUNE,20791.32,16148.14,17326.21,1400.0,5282.94,22637,5934.61,2567.8,-1,-0.7300424559054501
LISIEUX,30027.41,28222.49,5549.95,0.0,4138.15,20692,10101.79,2423.45,-1,-0.7299574994596822
MORLAIX,23961.63,23257.39,18885.21,3000.0,1651.87,15302,6780.39,2321.09,-1,-0.7298667657485284
GUYANCOURT,46650.72,44020.47,11577.97,0.0,4362.46,29932,5199.45,675.74,-1,-0.7295727603121896
ROBERT,36641.99,34121.03,7629.96,0.0,2865.65,22096,3473.79,4288.07,-1,-0.7295661519308205
PORT-DE-BOUC,33291.99,33279.56,14587.49,0.0,2487.26,16778,6867.94,2598.54,-1,-0.7294637872432622
CHAMPS-SUR-MARNE,36162.95,34938.47,12534.45,1500.0,2813.16,25808,7320.97,766.07,-1,-0.7290727044052298
COUERON,27511.21,24308.14,6487.55,2500.0,3988.61,22584,6293.52,2106.41,-1,-0.7290435776227491
SAINT-MICHEL-SUR-ORGE,29162.44,27068.09,13106.7,2150.0,3155.51,20631,6407.47,1580.91,-1,-0.7284773643624236
LE PONT-DE-CLAIX,26471.21,25416.29,22980.51,1500.0,1866.61,10792,5457.34,2900.54,-1,-0.7278941647600653
BRESSUIRE,21378.54,18881.86,26624.74,2102.24,4305.43,20847,5680.2,1614.19,-1,-0.7275769449088363
SAINTE-ROSE,14608.05,14520.43,17019.98,2500.0,787.69,6422,9111.96,3033.33,-1,-0.7275039234338749
CAUDRY,26367.58,18578.19,18456.97,3.77,8658.28,14261,5575.52,1488.33,-1,-0.7274748593248997
CREUSOT (LE ),28161.09,26658.54,18934.53,2300.0,3224.85,21567,4573.71,1290.54,-1,-0.727402588161321
CARRIERES-SUR-SEINE,21007.19,18734.1,16504.91,5000.0,3015.86,15376,5023.15,164.55,-1,-0.7271868736517322
GUERANDE,23145.26,19235.6,19963.34,1000.0,4806.5,16687,5574.79,2206.21,-1,-0.7270848427982984
CARRIERES-SOUS-POISSY,26677.58,25484.92,25618.05,0.0,2716.16,16757,9909.68,955.43,-1,-0.7270848427982984
PIERRELATTE,22173.08,23271.19,12780.9,6000.0,1356.37,13769,4442.55,1443.71,-1,-0.7269098644130094
ROMILLY-SUR-SEINE,19829.54,17722.18,29179.65,4380.0,3565.38,14798,5069.51,1008.48,-1,-0.7266950353688075
SAINT-JULIEN-EN-GENEVOIS,21908.0,17512.16,23622.0,2000.0,5627.39,16125,6203.87,1166.96,-1,-0.726593073524705
PLOEMEUR,24202.63,21759.19,15155.14,2700.0,3156.64,18417,8387.58,1797.58,-1,-0.726581440053763
PETITE-ILE,19267.64,16432.96,14768.56,4700.0,3493.83,12518,9177.47,988.42,-1,-0.7263269251313736
BISCARROSSE,26683.85,24117.35,14605.83,1930.0,4405.72,14292,5670.09,2110.98,-1,-0.7255989148485431
FONTAINE,32200.74,29789.71,13096.43,0.0,3133.05,23445,3762.29,2096.65,-1,-0.7252810618457269
CROLLES,17374.31,15038.05,12029.21,5800.0,3175.71,8549,11647.17,946.58,-1,-0.7251925426454633
PLAGNE-TARENTAISE (LA ),24470.53,21158.78,13232.94,1900.0,5638.5,3894,6452.26,1944.43,-1,-0.725119760475185
ORSAY,29349.34,26755.49,17209.16,975.9,3905.67,15832,3640.44,1655.41,-1,-0.7249459925680513
VAUVERT,16617.88,16544.4,17477.67,5863.43,814.63,11610,3971.98,1188.46,-1,-0.7248021173688464
CHILLY-MAZARIN,29285.04,29517.5,16201.15,751.0,506.03,19950,3467.18,1053.54,-1,-0.724790512572877
SAINT-JEAN-DE-BRAYE,30382.96,29108.15,13808.92,0.0,3068.52,21880,4854.13,2322.22,-1,-0.724790512572877
MOULE (LE),34322.55,33580.27,7367.48,0.0,1531.68,22423,5786.31,2142.0,-1,-0.7246466682307504
SAINT-GERVAIS-LES-BAINS,24493.76,19452.8,18583.4,0.0,5771.41,5734,7399.22,1858.54,-1,-0.7245276482940095
SAINT-AVOLD,28053.2,24253.91,19490.37,0.0,4450.35,15767,2222.83,1975.46,-1,-0.7244556699218143
EYSINES,25624.66,25052.29,13338.99,3500.0,2494.2,24752,5213.7,2550.69,-1,-0.7242292335248904
SEGRE EN ANJOU BLEU,22147.46,20155.7,22043.59,3000.0,3433.23,18295,7464.22,949.09,-1,-0.7241392118371449
PAMIERS,26327.42,25477.04,25024.47,2000.0,2586.34,16137,9276.78,950.44,-1,-0.7241392118371449
PLESSIS-TREVISE (LE ),27226.88,24537.19,14443.46,0.0,3594.39,19907,7086.49,2123.27,-1,-0.7241276176549462
BRY-SUR-MARNE,31742.85,29992.48,12204.65,1000.0,3331.04,17723,6161.03,982.67,-1,-0.7240549423632516
BORMES-LES-MIMOSAS,19351.88,17302.58,18102.59,11401.0,2501.31,8279,5150.87,576.15,-1,-0.7239940800659105
FONTAINEBLEAU,24508.19,22936.59,20691.9,3000.0,2185.38,16159,5815.38,1833.72,-1,-0.7239649423398962
BAGNOLS-SUR-CEZE,27984.45,24271.16,21669.7,1019.83,4167.84,18449,4666.79,1309.6,-1,-0.723476019305209
JUVISY-SUR-ORGE,28832.61,27036.4,10492.17,3300.0,2870.74,17581,10121.87,685.63,-1,-0.7234636996822735
FLEURY-LES-AUBRAIS,33291.03,31772.13,9807.81,2000.0,2701.32,21276,3647.88,1696.77,-1,-0.7229751151571839
COMBS-LA-VILLE,25760.18,25512.05,15582.81,2000.0,789.17,21777,3725.72,1015.36,-1,-0.7228316311048825
MONS-EN-BAROEUL,26685.02,23668.48,2.97,0.0,3511.59,21415,6355.39,1912.69,-1,-0.7222718690181508
ROISSY-EN-BRIE,27339.56,26285.67,15201.8,1400.0,1679.45,22933,6012.8,1295.08,-1,-0.7221993799741152
LUNEVILLE,23657.84,20999.04,24092.56,1000.0,3884.99,18191,3661.34,2828.67,-1,-0.7220814966454863
DIVONNE-LES-BAINS,27309.9,21725.91,13688.02,1618.77,7395.93,10190,3999.89,2103.15,-1,-0.7220699354093348
BRUGES,23896.58,21058.9,6780.44,2000.0,3858.55,19590,14712.72,2661.18,-1,-0.7220576397297271
MARMANDE,25207.38,24347.74,17243.04,1000.0,1758.51,18008,3617.23,2445.88,-1,-0.7220090267077067
CHAMBLY,14966.55,13155.48,21658.19,4000.0,3174.5,10280,11208.29,991.19,-1,-0.7218673601295221
VAL-D'ISERE,25933.36,24001.0,11701.94,0.0,3729.21,1629,4359.38,4387.81,-1,-0.7218657343885405
SAINT-GREGOIRE,17305.85,15975.02,18672.77,3000.0,3172.07,10262,6607.92,1863.6,-1,-0.7216936373703156
VERTOU,28434.79,25567.76,6796.14,2809.41,3831.34,26140,5656.15,1071.59,-1,-0.7216096524926302
PORT-JEROME-SUR-SEINE,25862.24,21290.33,11923.02,0.0,5072.8,10433,4235.87,3862.02,-1,-0.7212647310087259
KOUNGOU,25331.79,21585.21,4264.68,0.0,4675.19,32752,15732.6,1393.2,-1,-0.7204627800997697
LATTES,25192.2,19235.99,5412.09,0.0,6347.01,17680,7074.94,3107.89,-1,-0.7202606194778798
GARCHES,32147.93,31481.92,4520.72,0.0,2201.3,18233,9596.38,1827.1,-1,-0.7201464443278185
PASSY,21749.29,17695.15,16434.54,0.0,4759.08,11656,10079.96,1498.8,-1,-0.7201292041314677
ALBERTVILLE,24339.81,21812.27,28482.02,3040.0,3545.89,20066,5052.55,1001.77,-1,-0.719987017409305
SORGUES,27079.41,23874.23,6234.79,2000.0,4481.48,19127,5948.46,1961.41,-1,-0.7196306171764919
FLOIRAC,24600.06,22508.21,13964.82,0.0,3345.85,18278,4495.75,3204.44,-1,-0.7194885288983924
VIRE NORMANDIE,28533.39,26255.94,4931.55,3100.0,3609.65,17481,4203.36,2391.17,-1,-0.7194581646892309
ABBEVILLE,23892.43,23677.66,15298.71,1000.0,1053.61,23390,3869.63,1883.65,-1,-0.7192735414356713
LAMBALLE ARMOR,18620.22,15990.66,22862.89,3036.0,3449.26,17158,6356.55,329.16,-1,-0.719256322136483
LIEUSAINT,25342.91,19635.35,7634.83,4082.9,6311.47,13947,8688.2,342.36,-1,-0.719244806134159
VESINET (LE ),25717.44,25514.65,9409.87,2000.0,3486.56,16496,8138.56,1879.52,-1,-0.7191438896241715
VALBONNE,32028.14,27680.26,10333.69,0.0,4980.28,14040,7316.65,1357.61,-1,-0.7190717145121133
VALENTON,30406.69,27695.63,13284.95,0.0,5190.11,14934,7295.1,1101.41,-1,-0.7185918738956266
GIVORS,29101.2,27187.7,13.42,0.0,3939.64,20389,4135.51,1555.84,-1,-0.7185155951355138
LOON-PLAGE,20109.08,16850.44,4784.76,2000.0,4207.92,6161,9590.35,3732.08,-1,-0.7184730373479771
SAINT FRANCOIS,31222.76,31324.01,13667.96,0.0,1774.1,11849,651.77,1956.0,-1,-0.7183959642732082
CAVALAIRE-SUR-MER,23375.13,20106.44,13175.51,510.76,4318.28,7672,3236.16,4919.03,-1,-0.7183426790035287
HOUILLES,43367.07,43869.54,7256.36,0.0,2884.69,33147,7107.4,949.71,-1,-0.7183074047323504
JUVIGNAC,16873.9,14951.28,25037.95,6000.0,2784.67,11447,4608.28,172.99,-1,-0.718255737379671
ROISSY-EN-FRANCE,23421.11,18823.26,13476.21,0.0,5657.29,2859,6490.51,2010.03,-1,-0.7181829207184478
CLAYES-SOUS-BOIS (LES),29056.35,27383.99,15420.6,2000.0,2755.63,17722,4542.36,1292.06,-1,-0.7181000749909712
SAINT-MAXIMIN-LA-SAINTE-BAUME,17353.3,16167.91,12072.52,4000.15,1893.39,17592,8115.32,810.67,-1,-0.7179485353003433
OYONNAX,33885.78,31611.18,4996.64,0.0,3702.06,22935,11360.07,1120.81,-1,-0.7178215721446671
HENNEBONT,20558.89,18767.08,15844.1,2200.0,2770.9,16467,9238.21,1549.87,-1,-0.7177863931692012
BALMA,18251.9,17257.39,10728.74,6000.0,2035.03,16912,5280.97,1222.51,-1,-0.7177258457968341
GRANDE-MOTTE (LA ),33914.43,26055.92,13443.06,0.0,8471.24,8800,8120.54,568.81,-1,-0.7176201526412048
BRIE-COMTE-ROBERT,23101.25,21442.16,15800.66,3400.0,2628.04,19129,5270.34,1900.18,-1,-0.7175439770296178
PORT-LA-NOUVELLE,15890.38,12781.99,15834.1,5000.0,3577.75,5863,5718.86,300.13,-1,-0.7175349590723763
SEDAN,24665.29,23089.67,24383.86,1000.0,2343.92,16429,4059.28,1692.69,-1,-0.7172124821723387
BIOT,18137.44,14915.8,16012.22,5400.0,3989.55,10019,4357.2,593.9,-1,-0.7171421160003562
BEAUPREAU EN MAUGES,25298.99,21863.62,4574.96,357.2,5385.89,24135,5159.78,1936.5,-1,-0.7164199884274075
BISCHHEIM,23518.09,19101.51,13031.81,2500.0,4922.12,17562,7220.78,1199.32,-1,-0.7163309374287631
HEM,25390.97,20884.01,27.45,0.0,5652.28,18810,10191.25,1393.58,-1,-0.7163309374287631
SAINT-JEAN-DE-MONTS,22466.27,17993.68,22116.35,0.0,5780.77,8922,3333.92,2540.7,-1,-0.7161421309335625
FACHES-THUMESNIL,19793.27,19279.58,14573.66,4000.0,1101.71,18313,2728.75,1279.62,-1,-0.716028608643084
PLOERMEL,12017.69,9880.03,18254.0,3400.0,3151.29,10355,9976.16,1222.99,-1,-0.7159297557632173
DUCOS,26226.87,23075.34,6751.01,0.0,2994.16,17942,3341.9,5280.98,-1,-0.7159166806796042
LES PENNES-MIRABEAU,29326.52,28942.54,8798.16,0.0,1671.82,21910,10196.56,1039.73,-1,-0.7158815255372559
PERTUIS,29014.8,28044.69,13145.06,0.0,3820.62,20866,9347.64,1014.8,-1,-0.7157810809257612
BONNEVILLE,14305.91,12274.03,15751.93,4500.0,2765.51,12915,6448.35,1134.96,-1,-0.7157091407434325
SAINT-LO,23821.22,23305.05,15679.39,0.0,1467.86,19963,4364.35,2094.01,-1,-0.7154324650760218
VERRIERES-LE-BUISSON,22777.35,20569.03,18538.93,2250.0,3100.38,15248,8227.0,696.41,-1,-0.7153737273808036
VILLENEUVE-LOUBET,27529.74,26023.76,12570.26,2000.0,2809.48,16521,6859.12,1392.23,-1,-0.7153622735426467
CARQUEFOU,27635.99,24502.6,0.0,0.0,3913.09,20831,3785.18,2193.25,-1,-0.7151924546306866
MURET,26013.41,22002.95,1685.52,0.0,5862.21,25361,10027.83,1254.04,-1,-0.7149852271098408
LONGWY,20781.21,18119.76,21069.01,2500.0,2996.41,15046,6188.82,744.29,-1,-0.7148898790077473
CROIX,26621.91,23517.42,11075.86,0.0,4949.65,21157,6597.5,1373.4,-1,-0.7148784329164795
BLANQUEFORT,22895.32,21044.3,83.26,0.0,2367.79,16024,12948.29,2833.47,-1,-0.714778129047894
EPINAY-SOUS-SENART,21671.66,20313.86,28909.7,2000.0,3276.28,12349,5092.1,969.88,-1,-0.7146484411003899
GARDANNE,37802.93,36615.9,7805.32,0.0,2425.34,21859,5695.14,1496.19,-1,-0.7143232210462126
NOGENT-SUR-SEINE,21586.74,17382.42,16490.92,0.0,5132.69,6084,7054.73,1221.68,-1,-0.7143061202569415
GRANVILLE,23827.31,21741.03,14677.95,1000.0,3648.93,13187,5811.36,1749.85,-1,-0.7139117331904906
LEGE-CAP-FERRET,26674.84,21511.97,13887.35,2400.0,6002.46,8522,7356.9,739.34,-1,-0.7137114107811409
CUGNAUX,26265.96,23621.4,13440.9,0.0,3917.79,19597,5941.83,1665.98,-1,-0.7134288736481438
LE PRE-SAINT-GERVAIS,30410.01,28013.71,9448.73,0.0,3775.9,17423,4971.65,1430.22,-1,-0.7131163518056433
COULOMMIERS,24557.06,23751.51,19879.55,1800.0,2047.68,15018,4942.93,1155.49,-1,-0.7130277114490037
AUBENAS,18469.6,15577.34,34510.24,523.0,3775.32,13255,4852.6,1298.43,-1,-0.7129992256712087
ROQUEBRUNE-CAP-MARTIN,30132.72,27216.92,10493.92,0.0,4743.17,13041,7735.23,1271.19,-1,-0.7127812211277057
CARROS,24547.51,22850.98,19297.24,1800.0,2331.83,12686,2175.54,1671.93,-1,-0.7127584262893062
SEVREMOINE,23917.62,19730.21,2915.69,6.23,5488.78,25715,6873.58,1940.05,-1,-0.7124641340995542
MONTBRISON,20574.84,16705.23,11125.29,0.0,4993.7,16538,12317.28,1689.64,-1,-0.7123852447245828
BOISSY-SAINT-LEGER,28792.52,27018.96,14304.35,0.0,3055.74,17032,4975.86,553.48,-1,-0.7121520348670607
ELBEUF,24441.29,21411.91,5136.63,0.0,4081.07,16350,7459.69,3542.01,-1,-0.7119522062260462
NEMOURS,19394.97,16647.86,14986.76,0.0,3201.75,13211,12511.74,1182.69,-1,-0.7119034176341313
SAINT-PIERRE-DES-CORPS,27824.4,24175.62,15223.35,0.0,4689.56,16217,2862.4,1121.94,-1,-0.7118830804192058
SAINTE ROSE,27062.9,21236.09,6478.32,276.08,6171.41,18279,2671.05,2380.0,-1,-0.7117831968254942
OREE D'ANJOU,17063.01,16223.47,11685.92,4000.0,2367.44,16706,8549.03,1048.03,-1,-0.7117328526925601
BOUGUENAIS,26843.05,25857.58,4137.61,2400.0,2142.37,20208,4720.18,1450.47,-1,-0.7115705117619431
CHATEAUDUN,22563.86,22545.33,22705.35,0.0,772.75,13432,1758.53,1108.81,-1,-0.7115243128757859
MENNECY,22465.62,20100.59,27638.6,2500.0,2991.4,15583,5975.27,482.42,-1,-0.7115120911368159
VILLEBON-SUR-YVETTE,26466.35,24190.5,17000.25,0.0,3150.47,10631,4100.42,1408.08,-1,-0.7114129833940831
TRELAZE,20083.67,17438.48,22020.09,1506.75,4320.24,15129,3231.84,1604.54,-1,-0.7114129833940831
CELLE-SAINT-CLOUD (LA ),30150.49,27535.59,7408.73,0.0,3313.5,21096,7397.21,1061.27,-1,-0.7104736908914939
PROVINS,21092.25,19143.35,19405.52,2000.0,2424.51,12417,6778.01,263.94,-1,-0.7104075353577405
NOYON,18359.68,18228.39,25783.19,2500.0,732.09,13450,1725.78,875.89,-1,-0.7102386828620324
LIMAY,25209.86,24675.22,18151.86,1550.0,1337.88,17241,3299.03,696.73,-1,-0.710139029992076
ROMORANTIN-LANTHENAY,27361.33,26152.28,14287.14,500.0,2753.29,18395,3506.72,1760.88,-1,-0.7099590836926732
SAINT-VULBAS,9838.3,4700.02,9074.81,6000.0,5224.81,1267,3311.35,1534.15,-1,-0.7098282643309622
TOUL,23772.1,23105.0,15977.17,1300.0,2158.23,15898,4508.67,1967.38,-1,-0.7097882267489255
MONTIGNY-LES-METZ,19100.84,17132.86,20045.22,1000.0,2518.61,22236,2556.97,1497.92,-1,-0.7096725103257302
SOISY-SOUS-MONTMORENCY,24797.51,20411.97,13848.76,0.0,5382.75,18194,9529.18,860.52,-1,-0.7094846021495708
LAMENTIN,24332.19,23858.04,6239.13,0.0,715.11,16651,2870.17,6139.32,-1,-0.7086715941868913
SAINTE-MARIE,24822.32,23036.74,6939.01,0.0,2404.21,15652,5765.86,4054.41,-1,-0.7085882985844789
NOISIEL,31307.2,30160.2,12558.47,660.0,1861.1,16067,4500.01,462.43,-1,-0.7082070217942352
CHAMALIERES,21561.72,20036.74,18887.42,2709.95,2450.39,17849,4566.96,1231.47,-1,-0.7080516235300058
PORNIC,22752.79,18432.72,8127.16,0.0,5773.92,16297,9542.2,1621.12,-1,-0.708039566559508
LA CLUSAZ,15213.55,12671.18,13737.23,4105.0,3038.83,1762,5316.75,1791.91,-1,-0.7077489948555351
VESOUL,20927.35,20193.56,27624.88,2000.0,2013.08,15663,4987.11,954.05,-1,-0.7068828714582293
DOUARNENEZ,21431.97,20279.05,22244.71,1000.0,3346.62,14365,3739.99,993.74,-1,-0.7066159069856407
FEYZIN,23969.04,21345.71,15007.31,0.0,3422.55,9954,1770.02,1857.01,-1,-0.7065167624236967
CAPESTERRE BELLE EAU,28954.25,25740.6,12438.25,0.0,3631.19,17914,4998.1,588.88,-1,-0.7063998541868606
CHENOVE,24243.59,24063.88,10321.39,2759.0,959.0,14216,4838.55,2187.41,-1,-0.7062943423528281
SENLIS,27447.77,25355.79,12882.14,1400.0,2882.08,15386,5708.76,606.03,-1,-0.7062250473664752
MAUGUIO,28157.16,25475.33,8767.33,0.0,3891.11,16899,6259.42,1160.36,-1,-0.7061605651388752
SAINT-CYR-SUR-LOIRE,20632.82,17824.71,17395.82,2100.0,3860.48,16834,4500.55,798.89,-1,-0.7061379820299359
MONTEVRAIN,17747.43,16431.37,22648.08,1400.0,3018.15,13628,5285.53,115.46,-1,-0.7060389045251583
SAINT-OMER,18469.97,15730.15,16202.3,2200.0,3997.24,15559,5057.08,1869.14,-1,-0.7060074228697378
LEUCATE,19524.34,16161.9,14594.16,2000.0,4201.58,4670,7317.1,1050.34,-1,-0.7057795669818898
DEMBENI,14030.27,14671.09,4559.8,0.0,-203.97,16116,8741.65,3991.32,-1,-0.7051413335423268
GUERET,18222.06,17538.08,15636.26,2000.0,1570.61,13371,6687.7,894.64,-1,-0.7051003207533713
NEUILLY-PLAISANCE,29573.42,27009.22,8875.75,0.0,3490.05,21007,4822.99,817.44,-1,-0.7049674869358161
THOUARS,17325.42,15089.65,12070.19,2500.0,3367.57,14230,8257.6,1369.3,-1,-0.7048138863202658
SELESTAT,25522.82,24124.74,9431.95,0.0,2543.96,19507,9701.77,1875.67,-1,-0.7047930345712864
CHATEAURENARD,20562.59,20067.24,12763.93,1000.0,2800.76,16315,7176.15,1989.34,-1,-0.7047930345712864
LA FLECHE,21411.97,20379.26,19384.43,745.0,2169.33,15929,2149.19,1405.67,-1,-0.704380686386208
TULLE,20372.06,18304.86,17644.83,1900.0,2972.16,15475,4361.81,1531.3,-1,-0.7042295125027408
TARNOS,24340.99,21266.22,11937.85,2702.2,3672.65,12933,5918.65,888.15,-1,-0.7042175206165933
RIVE-DE-GIER,20956.4,18102.01,11338.46,2380.0,3302.99,15099,5897.07,1466.94,-1,-0.7041187125698106
AUTUN,17031.11,15023.22,20592.32,2000.0,2822.82,14009,6320.69,1242.6,-1,-0.7040844423677005
RUMILLY,23816.32,21114.0,5893.07,0.0,3714.95,16145,7669.81,2733.01,-1,-0.7034048372589584
BOULAZAC ISLE MANOIRE,17679.48,15275.29,14512.3,2500.0,4312.64,11078,6790.89,1100.54,-1,-0.7030076336973248
PUBLIER,17490.29,13278.77,20736.64,0.0,4900.87,7554,4168.41,1254.14,-1,-0.7028257035368324
COUDEKERQUE-BRANCHE,29175.7,25673.2,5455.25,0.0,4592.79,21144,3864.77,959.51,-1,-0.7027261248935023
CESTAS,27285.79,25474.09,6716.92,0.0,2473.56,17329,3783.25,2993.71,-1,-0.702650815403915
AURAY,20027.27,18572.52,11978.65,3000.0,2454.4,14564,6484.31,1425.89,-1,-0.7017407516516208
SAINT-EGREVE,27464.62,25855.64,1384.14,0.0,2444.14,16164,3800.55,1944.16,-1,-0.7016726173088565
